review,rating,date,bank,source,sentiment_score,sentiment
"It's a problem solver application, go ahead CBE, I love so much.",5,6/2/2025,Commercial Bank of Ethiopia,Google Play,0.3612,Positive
It's good but try to make it facilitate for your client,4,6/2/2025,Commercial Bank of Ethiopia,Google Play,0.2382,Positive
best app,5,6/1/2025,Commercial Bank of Ethiopia,Google Play,0.6369,Positive
Awesome bank,5,6/1/2025,Commercial Bank of Ethiopia,Google Play,0.6249,Positive
this app has developed in a very good ways but there are some comments I need to make 1- preventing the screenshot likely not good for someone like me coz I need to make screenshot for quicker evidence. 2-it would be good if you make us to access recent transaction histories for 30 days coz we don't have to go to the Bank's in person to see old transactions or add colander category so user can easily access old transactions through colanders.,5,5/31/2025,Commercial Bank of Ethiopia,Google Play,0.8567,Positive
Masha alla,5,5/31/2025,Commercial Bank of Ethiopia,Google Play,0,Neutral
"Recently there is big problem when sending to safaricom, telebir, and even to cbebirr wallet could anybody who is responsible fix it, it's very frustrating it's been 5 days and my money hasn't been returned it takes it out of my account but doesn't send it to my mpesa update- they have just corrected it and sent me back the money but still I'm afraid now to send again",2,5/31/2025,Commercial Bank of Ethiopia,Google Play,-0.3174,Negative
better service,5,5/31/2025,Commercial Bank of Ethiopia,Google Play,0.4404,Positive
"it,s good app and time manager ??ç",5,5/30/2025,Commercial Bank of Ethiopia,Google Play,0.4404,Positive
malkaamuu Jiidhaa Namoo,5,5/30/2025,Commercial Bank of Ethiopia,Google Play,0,Neutral
lower system everything,3,5/30/2025,Commercial Bank of Ethiopia,Google Play,-0.296,Negative
Nice!,5,5/30/2025,Commercial Bank of Ethiopia,Google Play,0.4753,Positive
Keep it up My CBE,5,5/29/2025,Commercial Bank of Ethiopia,Google Play,0,Neutral
yes good,5,5/28/2025,Commercial Bank of Ethiopia,Google Play,0.6808,Positive
I was using this app for the last two years with no problems. It stopped working about 3 months ago. when I tried to transfer funds it gives me error "can't do this transaction. inactive account.",4,5/27/2025,Commercial Bank of Ethiopia,Google Play,-0.3274,Negative
i like everything of this app,5,5/27/2025,Commercial Bank of Ethiopia,Google Play,0.3612,Positive
?§¨?§¨?§¨?§¨ network ???,1,5/26/2025,Commercial Bank of Ethiopia,Google Play,0,Neutral
Best,5,5/26/2025,Commercial Bank of Ethiopia,Google Play,0.6369,Positive
CBE is the best financial application and and very dimple to use. I would like to say thank you so much for the developer of application. I really appreciate this app.,5,5/26/2025,Commercial Bank of Ethiopia,Google Play,0.9041,Positive
nice,5,5/26/2025,Commercial Bank of Ethiopia,Google Play,0.4215,Positive
good job,5,5/26/2025,Commercial Bank of Ethiopia,Google Play,0.4404,Positive
it's awesome!!,5,5/25/2025,Commercial Bank of Ethiopia,Google Play,0.6892,Positive
thankyou every one,5,5/25/2025,Commercial Bank of Ethiopia,Google Play,0,Neutral
Ronaldo ??µ??π ?•?,5,5/25/2025,Commercial Bank of Ethiopia,Google Play,0.4767,Positive
"this app is absolutely fantastic I love it and I enjoying to it ,let us support this foundation together .",5,5/25/2025,Commercial Bank of Ethiopia,Google Play,0.9377,Positive
"The CBE app has been highly unreliable in recent weeks. It frequently fails to work properly on both Ethio Telecom and Safaricom networks, whether using Wi-Fi or mobile data. This week, the system was down entirely for extended periods, making it very difficult to access banking services. The app only functions intermittently, and the lack of consistency is frustrating. I hope the issues are addressed soon, and that any non-technical influences are removed from such essential services.",2,5/25/2025,Commercial Bank of Ethiopia,Google Play,-0.7841,Negative
mortuary app,5,5/25/2025,Commercial Bank of Ethiopia,Google Play,0,Neutral
it is smart app but it has stoped after some period of time on my device with out any reason .,5,5/25/2025,Commercial Bank of Ethiopia,Google Play,0.2144,Positive
amazing app I am used this app for one year,4,5/24/2025,Commercial Bank of Ethiopia,Google Play,0.5859,Positive
??ç,5,5/24/2025,Commercial Bank of Ethiopia,Google Play,0,Neutral
good app,5,5/24/2025,Commercial Bank of Ethiopia,Google Play,0.4404,Positive
i love it ??ç???,5,5/24/2025,Commercial Bank of Ethiopia,Google Play,0.875,Positive
It makes life easy!???,5,5/24/2025,Commercial Bank of Ethiopia,Google Play,0.8528,Positive
its not fast,1,5/24/2025,Commercial Bank of Ethiopia,Google Play,0,Neutral
wow,4,5/24/2025,Commercial Bank of Ethiopia,Google Play,0.5859,Positive
it is sooo good,5,5/24/2025,Commercial Bank of Ethiopia,Google Play,0.4404,Positive
excellent,5,5/24/2025,Commercial Bank of Ethiopia,Google Play,0.5719,Positive
ok,1,5/24/2025,Commercial Bank of Ethiopia,Google Play,0.296,Positive
Fantastic,5,5/23/2025,Commercial Bank of Ethiopia,Google Play,0.5574,Positive
accessible to using,5,5/23/2025,Commercial Bank of Ethiopia,Google Play,0,Neutral
I like it,4,5/23/2025,Commercial Bank of Ethiopia,Google Play,0.3612,Positive
why you change default network?,5,5/23/2025,Commercial Bank of Ethiopia,Google Play,0,Neutral
very nice ??ç,5,5/23/2025,Commercial Bank of Ethiopia,Google Play,0.4754,Positive
nice fast app,5,5/23/2025,Commercial Bank of Ethiopia,Google Play,0.4215,Positive
how to I get my money,5,5/23/2025,Commercial Bank of Ethiopia,Google Play,0,Neutral
"Very bad, can't even load they need to improve their services.",1,5/22/2025,Commercial Bank of Ethiopia,Google Play,-0.2247,Negative
"Very good app, but please make it reliable . it crashes sometimes .",4,5/22/2025,Commercial Bank of Ethiopia,Google Play,0.6183,Positive
very busy I don't know why... I prefer 889,3,5/22/2025,Commercial Bank of Ethiopia,Google Play,0,Neutral
"Sometimes it has a nasty lag for several hour fix that , the rest is ???",4,5/22/2025,Commercial Bank of Ethiopia,Google Play,0.0343,Neutral
the most boring Mobil banking application in ethiopia.Please use alternative private banks mobile banking apps,1,5/22/2025,Commercial Bank of Ethiopia,Google Play,-0.3804,Negative
hojii bonsaadha,5,5/22/2025,Commercial Bank of Ethiopia,Google Play,0,Neutral
user-friendly apps.because this app is easy.,5,5/22/2025,Commercial Bank of Ethiopia,Google Play,0.4404,Positive
Awosome!!!,5,5/22/2025,Commercial Bank of Ethiopia,Google Play,0,Neutral
"Very good app,",5,5/22/2025,Commercial Bank of Ethiopia,Google Play,0.4927,Positive
sync problem may 22 2025 but the date stack on may 8 2025 help pls,5,5/22/2025,Commercial Bank of Ethiopia,Google Play,0.4854,Positive
·?≠·?? ·??·?∞·?ç·?†·?™·?´ ·?†·?£·?ù ·?•·?© ·?ê·?ç. this app is very nice,5,5/22/2025,Commercial Bank of Ethiopia,Google Play,0.4754,Positive
I hate this app ???,1,5/22/2025,Commercial Bank of Ethiopia,Google Play,-0.5719,Negative
trustful,5,5/22/2025,Commercial Bank of Ethiopia,Google Play,0.4767,Positive
I like,5,5/22/2025,Commercial Bank of Ethiopia,Google Play,0.3612,Positive
update issue,4,5/22/2025,Commercial Bank of Ethiopia,Google Play,0,Neutral
its not working over safari network,1,5/22/2025,Commercial Bank of Ethiopia,Google Play,0,Neutral
oldie,1,5/22/2025,Commercial Bank of Ethiopia,Google Play,0,Neutral
it doesn't work,1,5/21/2025,Commercial Bank of Ethiopia,Google Play,0,Neutral
"This app is good, and we are using it well",1,5/21/2025,Commercial Bank of Ethiopia,Google Play,0.6124,Positive
very nice ??? app for android phone,5,5/21/2025,Commercial Bank of Ethiopia,Google Play,0.8679,Positive
Yes Yes,5,5/21/2025,Commercial Bank of Ethiopia,Google Play,0.6597,Positive
·?†·?£·?ù ·?®·?≠·ç?·ç?,1,5/21/2025,Commercial Bank of Ethiopia,Google Play,0,Neutral
easy to use helpful in my life,5,5/21/2025,Commercial Bank of Ethiopia,Google Play,0.6908,Positive
good ??ç,4,5/21/2025,Commercial Bank of Ethiopia,Google Play,0.4404,Positive
the best mobile banking app,5,5/21/2025,Commercial Bank of Ethiopia,Google Play,0.6369,Positive
"this app is very useful app,it saves time,and it is secure",4,5/21/2025,Commercial Bank of Ethiopia,Google Play,0.6801,Positive
it's a good application ??ç,5,5/21/2025,Commercial Bank of Ethiopia,Google Play,0.4404,Positive
the screenshot and the reffresh options are so annoying that makes transaction so delaying activity !,2,5/21/2025,Commercial Bank of Ethiopia,Google Play,-0.5836,Negative
poor service,1,5/21/2025,Commercial Bank of Ethiopia,Google Play,-0.4767,Negative
amazing,5,5/20/2025,Commercial Bank of Ethiopia,Google Play,0.5859,Positive
it is reliable and easy to use.,5,5/20/2025,Commercial Bank of Ethiopia,Google Play,0.4404,Positive
the most annoying mobile banking app I've ever seen,1,5/20/2025,Commercial Bank of Ethiopia,Google Play,-0.4576,Negative
Cbe mobile banking,5,5/20/2025,Commercial Bank of Ethiopia,Google Play,0,Neutral
"i can't make Screenshout in this app, please made modification",5,5/20/2025,Commercial Bank of Ethiopia,Google Play,0.3182,Positive
Best app I loved it,5,5/19/2025,Commercial Bank of Ethiopia,Google Play,0.8442,Positive
nice app,5,5/19/2025,Commercial Bank of Ethiopia,Google Play,0.4215,Positive
Amazing applicatiom sometimes doesnt work!,5,5/18/2025,Commercial Bank of Ethiopia,Google Play,0.6239,Positive
well satisfied with this beautiful app,5,5/18/2025,Commercial Bank of Ethiopia,Google Play,0.8316,Positive
very good,4,5/17/2025,Commercial Bank of Ethiopia,Google Play,0.4927,Positive
best app.,5,5/17/2025,Commercial Bank of Ethiopia,Google Play,0.6369,Positive
"not working,why???",5,5/17/2025,Commercial Bank of Ethiopia,Google Play,0,Neutral
Great impact but why Developer option turnoff if you fix ??è ??è ??è,5,5/17/2025,Commercial Bank of Ethiopia,Google Play,0.3716,Positive
always disappointing ! especially the iOS one !! some similar local applications are extremely superior to this application!! Really disappointing!,1,5/17/2025,Commercial Bank of Ethiopia,Google Play,-0.6209,Negative
woxe harimo ribiso,5,5/17/2025,Commercial Bank of Ethiopia,Google Play,0,Neutral
"Good ,easy to use",5,5/16/2025,Commercial Bank of Ethiopia,Google Play,0.7003,Positive
Good app,5,5/15/2025,Commercial Bank of Ethiopia,Google Play,0.4404,Positive
Good job??ç,5,5/14/2025,Commercial Bank of Ethiopia,Google Play,0.4404,Positive
"Please kindly ask to update the app and allow us to screenshot, it's convenient and efficient as long as you add security to the access there is no reason to block us from screenshooting our screen.",2,5/14/2025,Commercial Bank of Ethiopia,Google Play,0.7579,Positive
I have using the CBE mobile banking app. and overall i appreciate its Feuteres However i.ve Notticed that when i turn on the Developer options on my divice the App.Stop Functioning prorerly It.Would Be Great If You could look into This issue as l often need to access Developer setting for Otter Application ThankYou For Your attention to This Matter,4,5/13/2025,Commercial Bank of Ethiopia,Google Play,0.8728,Positive
customer service is bad nothing is good about this bank,1,5/13/2025,Commercial Bank of Ethiopia,Google Play,-0.7101,Negative
It is Amazing Mobile Banking App....But why the screenshot of the receipt doesnt work,5,5/13/2025,Commercial Bank of Ethiopia,Google Play,0.5859,Positive
fast and simple easy to use ???,5,5/12/2025,Commercial Bank of Ethiopia,Google Play,0.8415,Positive
The fastest transferring app I ever had its so reliable,5,5/11/2025,Commercial Bank of Ethiopia,Google Play,0,Neutral
"Funds transferred from the same bank do not reflect in the account, even though a confirmation text message was received.",3,5/11/2025,Commercial Bank of Ethiopia,Google Play,0,Neutral
it's easy and fast,5,5/10/2025,Commercial Bank of Ethiopia,Google Play,0.4404,Positive
This app don't have self activation only you have to look near cbe branch that's disgusting,1,5/10/2025,Commercial Bank of Ethiopia,Google Play,-0.5267,Negative
hello dearest CBE office personnel make some benefits for those using interest free accounts thanks for your help,5,5/9/2025,Commercial Bank of Ethiopia,Google Play,0.9524,Positive
wow best application ever,5,5/9/2025,Commercial Bank of Ethiopia,Google Play,0.8402,Positive
"Am sorry but what does developer mode do to the application ? hack it ? are you sure you are developer or are you stupid, doesnt makes sense,",1,5/8/2025,Commercial Bank of Ethiopia,Google Play,-0.4871,Negative
the pride of Ethiopian bank ?è¶,5,5/8/2025,Commercial Bank of Ethiopia,Google Play,0.34,Positive
why the app telling me to turn of developer options please fix it.,1,5/7/2025,Commercial Bank of Ethiopia,Google Play,0.3182,Positive
i am very happy . i have small prob. after i transfer i cant put the transfer cashe bil to my dic.,5,5/7/2025,Commercial Bank of Ethiopia,Google Play,0.6115,Positive
amazing apps,5,5/6/2025,Commercial Bank of Ethiopia,Google Play,0.5859,Positive
All service of Mobile Banking,5,5/6/2025,Commercial Bank of Ethiopia,Google Play,0,Neutral
needs improvement,1,5/6/2025,Commercial Bank of Ethiopia,Google Play,0.4588,Positive
i miss the old one i couldn't send my mony to other bank..,1,5/6/2025,Commercial Bank of Ethiopia,Google Play,-0.1531,Negative
the app is recently crushing each time you open and try to make transfers...it used to be good. take lessons from the Dashen Super app or ethiotelecom. it is not befitting of your experience and glory. inv3st in making it more friendly and convenient. I am considering leaving CBE for good.,2,5/6/2025,Commercial Bank of Ethiopia,Google Play,0.9348,Positive
good but these week not oky,4,5/6/2025,Commercial Bank of Ethiopia,Google Play,0.2382,Positive
well designed! Fixing bugs & two step verification with biometric... simply it's great!,5,5/6/2025,Commercial Bank of Ethiopia,Google Play,0.7772,Positive
If any developer is reading this please fix the screenshot functionality or at least the download button should work flawlessly without me touching it twenty times.,1,5/5/2025,Commercial Bank of Ethiopia,Google Play,0.5307,Positive
"it's a great job.but one more thing, it hasn't been placed for transfer to other banks on face like mobile charge card place",5,5/5/2025,Commercial Bank of Ethiopia,Google Play,0.765,Positive
CBE mobilr bankg,5,5/5/2025,Commercial Bank of Ethiopia,Google Play,0,Neutral
verygood,3,5/5/2025,Commercial Bank of Ethiopia,Google Play,0,Neutral
Ÿ?Ÿ?ÿ™ÿßÿ≤ ÿ¨ÿØÿß,5,5/4/2025,Commercial Bank of Ethiopia,Google Play,0,Neutral
it's very low quality application,1,5/4/2025,Commercial Bank of Ethiopia,Google Play,-0.3384,Negative
Very Amazing Apps,5,5/4/2025,Commercial Bank of Ethiopia,Google Play,0.624,Positive
·?†·??,1,5/4/2025,Commercial Bank of Ethiopia,Google Play,0,Neutral
wow simple life,5,5/4/2025,Commercial Bank of Ethiopia,Google Play,0.5859,Positive
it's nice,5,5/3/2025,Commercial Bank of Ethiopia,Google Play,0.4215,Positive
Why stacked sometimes,5,5/3/2025,Commercial Bank of Ethiopia,Google Play,0,Neutral
okay ??ç but sometimes busy,1,5/3/2025,Commercial Bank of Ethiopia,Google Play,0.1154,Positive
the worst commercial company that fails to do even the most normal things again and and again.,1,5/3/2025,Commercial Bank of Ethiopia,Google Play,-0.7845,Negative
Very good app. but disappointed by general cessation of system.,5,5/2/2025,Commercial Bank of Ethiopia,Google Play,-0.4684,Negative
Good and fast,5,5/2/2025,Commercial Bank of Ethiopia,Google Play,0.4404,Positive
Unreliable!,1,5/2/2025,Commercial Bank of Ethiopia,Google Play,0,Neutral
Best the best fast,5,5/2/2025,Commercial Bank of Ethiopia,Google Play,0.8555,Positive
happy,5,5/2/2025,Commercial Bank of Ethiopia,Google Play,0.5719,Positive
fast and reliable,5,5/2/2025,Commercial Bank of Ethiopia,Google Play,0,Neutral
network errorrrrrr,2,5/2/2025,Commercial Bank of Ethiopia,Google Play,0,Neutral
Best app but there is some problem I can't send money to telebirr or mpesa so if you can add that it could be use full,4,5/2/2025,Commercial Bank of Ethiopia,Google Play,-0.2382,Negative
its good and simple to use,5,5/2/2025,Commercial Bank of Ethiopia,Google Play,0.4404,Positive
worest app like that bank for security and network access,1,5/2/2025,Commercial Bank of Ethiopia,Google Play,0.5994,Positive
it's the best app i,5,5/2/2025,Commercial Bank of Ethiopia,Google Play,0.6369,Positive
not bad not good,1,5/2/2025,Commercial Bank of Ethiopia,Google Play,0.5981,Positive
its very nice,5,5/2/2025,Commercial Bank of Ethiopia,Google Play,0.4754,Positive
do not work this week,3,4/30/2025,Commercial Bank of Ethiopia,Google Play,0,Neutral
It crashes frequently,4,4/30/2025,Commercial Bank of Ethiopia,Google Play,0,Neutral
the best,5,4/28/2025,Commercial Bank of Ethiopia,Google Play,0.6369,Positive
I can simply describe this app as "Making all your work easier".,5,4/28/2025,Commercial Bank of Ethiopia,Google Play,0.4215,Positive
goid,5,4/28/2025,Commercial Bank of Ethiopia,Google Play,0,Neutral
best appearance,5,4/27/2025,Commercial Bank of Ethiopia,Google Play,0.6369,Positive
it's very good ??ç app,5,4/27/2025,Commercial Bank of Ethiopia,Google Play,0.4927,Positive
I need support you,5,4/27/2025,Commercial Bank of Ethiopia,Google Play,0.4019,Positive
the worst Mobile banking i have ever seen in my life,1,4/26/2025,Commercial Bank of Ethiopia,Google Play,-0.6249,Negative
super,5,4/26/2025,Commercial Bank of Ethiopia,Google Play,0.5994,Positive
·?†·??·?®·??·??·ç¢·??·??,5,4/26/2025,Commercial Bank of Ethiopia,Google Play,0,Neutral
i like the app,5,4/26/2025,Commercial Bank of Ethiopia,Google Play,0.3612,Positive
the Best,1,4/26/2025,Commercial Bank of Ethiopia,Google Play,0.6369,Positive
to other bank is bad,1,4/25/2025,Commercial Bank of Ethiopia,Google Play,-0.5423,Negative
tank's,5,4/25/2025,Commercial Bank of Ethiopia,Google Play,0,Neutral
its good but add more features such like. bank statement showing,5,4/24/2025,Commercial Bank of Ethiopia,Google Play,0.6804,Positive
it is so nice,5,4/24/2025,Commercial Bank of Ethiopia,Google Play,0.5598,Positive
Very Good??ç,5,4/21/2025,Commercial Bank of Ethiopia,Google Play,0.4927,Positive
"my first frequent experience of cbe app is critical-time failure such as suspending payment on air for 2-5 days with zero explanation, deducting from sender account without depositing to the receiver act. Another fatal error by the banking company as a whole (not the app itself though) is forced-banking with corporations without consent of employers-users of the corresponding corporations",2,4/21/2025,Commercial Bank of Ethiopia,Google Play,-0.8797,Negative
"wow, amazing app",5,4/21/2025,Commercial Bank of Ethiopia,Google Play,0.8225,Positive
use ful,5,4/21/2025,Commercial Bank of Ethiopia,Google Play,0,Neutral
Great app,5,4/21/2025,Commercial Bank of Ethiopia,Google Play,0.6249,Positive
well app,5,4/20/2025,Commercial Bank of Ethiopia,Google Play,0.2732,Positive
Actually it is inactive,4,4/19/2025,Commercial Bank of Ethiopia,Google Play,0,Neutral
"slow, only one account is used",2,4/19/2025,Commercial Bank of Ethiopia,Google Play,0,Neutral
always CBE is the leading Commercial Bank??™??™??™,5,4/18/2025,Commercial Bank of Ethiopia,Google Play,0,Neutral
i like it,5,4/18/2025,Commercial Bank of Ethiopia,Google Play,0.3612,Positive
why removing screenshot feature why?,1,4/18/2025,Commercial Bank of Ethiopia,Google Play,0,Neutral
nice apps where network is good in connection,5,4/18/2025,Commercial Bank of Ethiopia,Google Play,0.6908,Positive
Thank you!!!,5,4/18/2025,Commercial Bank of Ethiopia,Google Play,0.5229,Positive
i can't take screenshot,1,4/18/2025,Commercial Bank of Ethiopia,Google Play,0,Neutral
"every update was made the system better and better until the March 19th, 2025 update, not allowing us to screenshot. you guys didn't understand how much it's a really quick and significant thing. You add extra steps to us, which makes the process draw back",3,4/18/2025,Commercial Bank of Ethiopia,Google Play,0.7823,Positive
perfectly special,5,4/18/2025,Commercial Bank of Ethiopia,Google Play,0.7845,Positive
Fast and Reliable,5,4/18/2025,Commercial Bank of Ethiopia,Google Play,0,Neutral
The best application I have ever seen in Ethiopia banking industry.,5,4/17/2025,Commercial Bank of Ethiopia,Google Play,0.6369,Positive
great app!!!,5,4/17/2025,Commercial Bank of Ethiopia,Google Play,0.7163,Positive
because sometimes it doesn't working it load too much,3,4/17/2025,Commercial Bank of Ethiopia,Google Play,0,Neutral
"Absolutely the best app! It works flawlessly, anytime and anywhere.",5,4/17/2025,Commercial Bank of Ethiopia,Google Play,0.7629,Positive
very nice app ever!!!,5,4/16/2025,Commercial Bank of Ethiopia,Google Play,0.6084,Positive
the best app,5,4/16/2025,Commercial Bank of Ethiopia,Google Play,0.6369,Positive
Biometric security for mobile banking is not available,5,4/16/2025,Commercial Bank of Ethiopia,Google Play,0.34,Positive
great,5,4/15/2025,Commercial Bank of Ethiopia,Google Play,0.6249,Positive
Nice service,5,4/15/2025,Commercial Bank of Ethiopia,Google Play,0.4215,Positive
great app,5,4/15/2025,Commercial Bank of Ethiopia,Google Play,0.6249,Positive
it's special apps,5,4/15/2025,Commercial Bank of Ethiopia,Google Play,0.4019,Positive
"In the updated version of the app, it takes more time to download the receipt.",3,4/15/2025,Commercial Bank of Ethiopia,Google Play,0,Neutral
·??·?ù·??·?µ·?ê·?ç ·?µ·?´·??·??·?≠·?Ω·?? ·?µ·??·?Ω ·?•·?ª ·?®·??·?´·?≥·?®·?ç ?,3,4/14/2025,Commercial Bank of Ethiopia,Google Play,0,Neutral
Good ??•,5,4/14/2025,Commercial Bank of Ethiopia,Google Play,0.128,Positive
very interesting app i am using every day fantastic,5,4/14/2025,Commercial Bank of Ethiopia,Google Play,0.7645,Positive
lebaa bank,5,4/14/2025,Commercial Bank of Ethiopia,Google Play,0,Neutral
Can't scan/recognize other banks' Interoperable QR Codes,1,4/13/2025,Commercial Bank of Ethiopia,Google Play,0,Neutral
OK,5,4/13/2025,Commercial Bank of Ethiopia,Google Play,0.296,Positive
grateful app,5,4/13/2025,Commercial Bank of Ethiopia,Google Play,0.4588,Positive
100% ‚ù§Ô∏è‚ù§Ô∏è‚ù§Ô∏è??è??è??è??è??è??è??è??è??è??è??è??è??è??è??è??è,5,4/13/2025,Commercial Bank of Ethiopia,Google Play,0,Neutral
everthing wellbeok,3,4/13/2025,Commercial Bank of Ethiopia,Google Play,0,Neutral
"""This mobile banking app is fast and user-friendly, but the only issue I encountered is that I can't access my bank statement within the app. I kindly request that this feature be added, similar to what is offered by other private bank mobile banking apps.",4,4/13/2025,Commercial Bank of Ethiopia,Google Play,0.6486,Positive
nice app ???,5,4/12/2025,Commercial Bank of Ethiopia,Google Play,0.8374,Positive
why did this app is not screenshot,5,4/12/2025,Commercial Bank of Ethiopia,Google Play,0,Neutral
it so good app,5,4/12/2025,Commercial Bank of Ethiopia,Google Play,0.4927,Positive
ÿ¨Ÿ?Ÿ?Ÿ?,5,4/11/2025,Commercial Bank of Ethiopia,Google Play,0,Neutral
"less network, specially to make fee for utility purpose",1,4/11/2025,Commercial Bank of Ethiopia,Google Play,0,Neutral
simply for used,4,4/11/2025,Commercial Bank of Ethiopia,Google Play,0,Neutral
wow keep up,5,4/10/2025,Commercial Bank of Ethiopia,Google Play,0.5859,Positive
its great app but when updating we can't take screen shot please try to fix it,3,4/10/2025,Commercial Bank of Ethiopia,Google Play,0.6705,Positive
good one,5,4/10/2025,Commercial Bank of Ethiopia,Google Play,0.4404,Positive
everything is easy thank you cebe,5,4/10/2025,Commercial Bank of Ethiopia,Google Play,0.6597,Positive
·ç?·?£·?? ·??·?ç·?£·ç?,5,4/10/2025,Commercial Bank of Ethiopia,Google Play,0,Neutral
·??·?†·?ù,5,4/9/2025,Commercial Bank of Ethiopia,Google Play,0,Neutral
but this app says can't sync,5,4/9/2025,Commercial Bank of Ethiopia,Google Play,0,Neutral
waw,5,4/9/2025,Commercial Bank of Ethiopia,Google Play,0,Neutral
to slow,3,4/9/2025,Commercial Bank of Ethiopia,Google Play,0,Neutral
work on screen shot system,4,4/8/2025,Commercial Bank of Ethiopia,Google Play,0,Neutral
very very nice aplication,1,4/8/2025,Commercial Bank of Ethiopia,Google Play,0.5222,Positive
wonder full and it is easy to use,5,4/8/2025,Commercial Bank of Ethiopia,Google Play,0.4404,Positive
easy and reliable,2,4/8/2025,Commercial Bank of Ethiopia,Google Play,0.4404,Positive
it is Very Useful app ??ç,5,4/7/2025,Commercial Bank of Ethiopia,Google Play,0.4927,Positive
perfect app,5,4/7/2025,Commercial Bank of Ethiopia,Google Play,0.5719,Positive
I like it.,5,4/7/2025,Commercial Bank of Ethiopia,Google Play,0.3612,Positive
bugs,3,4/7/2025,Commercial Bank of Ethiopia,Google Play,0,Neutral
commerial Bank,5,4/6/2025,Commercial Bank of Ethiopia,Google Play,0,Neutral
Genat biru,2,4/6/2025,Commercial Bank of Ethiopia,Google Play,0,Neutral
??è,5,4/6/2025,Commercial Bank of Ethiopia,Google Play,0,Neutral
it is good but it doesn't allow screen shot,4,4/6/2025,Commercial Bank of Ethiopia,Google Play,-0.0127,Neutral
the best one,5,4/6/2025,Commercial Bank of Ethiopia,Google Play,0.6369,Positive
You need to copy many things from other bank apps like Amole(Dashen),2,4/6/2025,Commercial Bank of Ethiopia,Google Play,0.3612,Positive
bring back the screenshot feature.,1,4/5/2025,Commercial Bank of Ethiopia,Google Play,0,Neutral
Good!??ç,3,4/5/2025,Commercial Bank of Ethiopia,Google Play,0.4926,Positive
best app to experience him that to smooth transaction among the customers,1,4/5/2025,Commercial Bank of Ethiopia,Google Play,0.6369,Positive
